Ingredients,Value,PPG,SRM,EZWaterCode,FlavorProfile,DP,isGrain
Corn Sugar - 0°L,118,1.042,0,1,Dextrose,0,0
"Honey, Basswood - 2°L",120,1.040,2,1,Basswood is an ornamental shade tree that produces cream-colored flowers known for their nectar. Basswood honey has a fresh taste similar to green ripening fruit and a distinctive lingering flavor. ,0,0
"Honey, Buckwheat - 8°L",121,1.040,8,1,Buckwheat honey is pungent in flavor with molasses and malty tones and a lingering aftertaste. Buckwheat honey is also very dark in color.,0,0
"Honey, Clover - 1°L",122,1.040,1,1,Clover honey is light in color with a floral flavor and a pleasant mild taste.,0,0
"Honey, Dandelion - 2°L",123,1.040,2,1,Dandelion honey is rare and original becuuse it is harvested in late spring/early summer and is made from the nectar of dandelion flowers. It is yellow in color like the flower and is very sweet.,0,0
"Honey, Orange Blossom - 2°L",119,1.040,2,1,"Orange blossom honey is mild, with citrus-orange notes.",0,0
"Honey, White Sage - 3°L",124,1.040,3,1,"Delicate and light with a predominant sweet, clover-like flavor and an elegant floral aftertaste.",0,0
"Honey, Wildflower - 4°L",125,1.040,4,1,Light amber in color and is very sweet and robust. This wildflower is produced by placing hives in prairies and grasslands where bees have access to a wide variety of wild plants. The honey is naturally blended by the bees as they visit many different nectar sources.,0,0
Lactose - 0°L,126,1.035,0,1,"Lactose is a non-fermentable sugar used to sweeten Brown ales and Stouts. It gives a beer a creamy texture, or \milky\ flavor as it is called in some countries. ",0,0
Lyle's Golden Syrup - 0°L,127,1.036,0,1,,0,0
Maltodextrine - 0°L,128,1.040,0,1,"Maltodextrine is used largely in low gravity beers, and is a non-fermentable sugar added to the boil (up to 8 ounces in a 5 gallon batch) to add body and mouth-feel to the beer. Maltodextrine does not produce any flavors, and does not add alcohol to your beer.",0,0
Maple Syrup - 35°L,129,1.031,35,1,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species such as the bigleaf maple.",0,0
"Molasses, Black Strap - 80°L",130,1.040,80,1,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar.",0,0
"Molasses, Full Flavor - 80°L",131,1.040,80,1,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar.",0,0
"Molasses, Mild Flavor - 80°L",132,1.040,80,1,"Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar.",0,0
Rice Syrup Solids - 0°L,133,1.040,0,1,"Rice Syrup Solids are used to add alcohol and lighten the body of beers. You add them to the boil at the same time as your malt extract. This is the ingredient used in many American lagers, such as the \King\ of beers. ",0,0
Treacle - 100°L,134,1.035,100,1,Treacle is any syrup made during the refining of sugar and is defined as \ uncrystallized syrup produced in refining sugar\.,0,0
Turbinado - 10°L,149,1.044,10,1,Turbinado sugar is a raw sugar that is obtained or crystallized from the initial pressing of sugar cane.,0,0
Mott's Original 100% Apple Juice - 2°L,148,1.051,2,1,"100% juice. 100% yum. Mott’s juices offer refreshing taste in a convenient assortment of sizes. Enjoy the family size bottle at home or pack some of our 6.75 fl oz boxes or 8 fl oz bottles for kiddies on the go. Whatever flavor you choose, your family gets at least half a cup of fruit in every drink. So go ahead and try them all.",0,0
Mott's Original Natural 100% Apple Juice - 4°L,150,1.046,4,1,"100% juice. 100% yum. Mott’s juices offer refreshing taste in a convenient assortment of sizes. Enjoy the family size bottle at home or pack some of our 6.75 fl oz boxes or 8 fl oz bottles for kiddies on the go. Whatever flavor you choose, your family gets at least half a cup of fruit in every drink. So go ahead and try them all.",0,0
